,avg,lbound,ubound,sums
210,-15.71939479471789,-51.14772659206011,19.708937002624335,-3143.878958943578
211,-58.77311522828683,-106.74428576109753,-10.80194469547613,-11754.623045657365
212,-37.97176813579262,-84.55368424336581,8.61014797178057,-7594.353627158524
213,-43.08296493379122,-92.04187523102499,5.875945363442554,-8616.592986758244
214,-58.031332749074515,-105.88647717517219,-10.176188322976849,-11606.266549814904
215,-40.64633822552668,-88.61586548224427,7.323189031190921,-8129.267645105336
216,-0.6845534962351769,-2.4437698656647617,1.0746628731944077,-136.91069924703538
217,-63.50167868490648,-111.16981022693157,-15.833547142881386,-12700.335736981297
218,-37.58401808180154,-83.94485812317345,8.776821959570363,-7516.803616360308
219,-36.78855853831192,-84.79533169292603,11.218214616302198,-7357.711707662384
220,-61.83068986054964,-109.08750270773692,-14.573877013362363,-12366.137972109927
221,-28.533814421447918,-71.49806769422977,14.430438851333935,-5706.762884289584
222,-20.070718999643,-58.207108815300536,18.06567081601454,-4014.1437999286
223,-48.75871804772633,-97.052327314018,-0.4651087814346653,-9751.743609545267
224,-35.90754376025076,-83.47869980493624,11.66361228443472,-7181.508752050152
225,-51.220337903674974,-100.49370740574037,-1.946968401609574,-10244.067580734994
226,-58.26355709871516,-106.33583928421447,-10.19127491321585,-11652.711419743033
227,-36.01828376239567,-82.99551917989176,10.958951655100421,-7203.656752479134
228,-47.839814120083446,-96.97040970667275,1.2907814665058623,-9567.96282401669
229,-58.742573621649456,-106.74749380552268,-10.737653437776238,-11748.51472432989
230,-12.316455209291473,-42.41283161181812,17.77992119323517,-2463.2910418582946
231,-37.50258688644933,-85.41461955824155,10.409445785342896,-7500.517377289866
232,-0.3042369653907096,-1.6707476954706189,1.0622737646891998,-60.84739307814192
233,-67.79693079801955,-114.21457800981715,-21.379283586221945,-13559.386159603908
234,-61.10839101954011,-109.25129000887854,-12.965492030201673,-12221.67820390802
235,-1.585679120555644,-3.8777470683949566,0.7063888272836687,-317.1358241111288
236,-57.629562226665506,-106.41801766132731,-8.8411067920037,-11525.9124453331
237,-65.05233532751365,-113.52928104159545,-16.57538961343183,-13010.46706550273
238,-47.055807008071035,-96.45302171086007,2.341407694718008,-9411.161401614207
239,-54.258398063282165,-103.83950680797028,-4.677289318594056,-10851.679612656433
240,-45.699038999982555,-93.86038621445829,2.46230821449317,-9139.807799996512
241,-38.284180918234796,-86.11186781144859,9.543505974978999,-7656.8361836469585
242,-36.69204974576705,-83.18810238551714,9.804002893983032,-7338.409949153411
243,-49.554716762232594,-98.20635473461658,-0.9030787898485997,-9910.943352446518
244,-53.49989411640574,-103.39950127204489,-3.6002869607665957,-10699.978823281148
245,-52.89767607563434,-102.42964544245848,-3.365706708810201,-10579.535215126867
246,-57.26427998025678,-106.99170927100556,-7.536850689508007,-11452.855996051356
247,-33.04403946752796,-77.9675552981972,11.879476363141272,-6608.807893505592
248,-19.340216514211534,-57.1788776356444,18.49844460722133,-3868.0433028423067
249,-15.639899449216284,-51.11369261829118,19.83389371985861,-3127.979889843257
