,losses
791,1779391.2
792,1778073.4
793,1776819.2
794,1775622.0
795,1774476.9
796,1773378.0
797,1772320.8
798,1771301.1
799,1770315.0
800,4467771.5
801,4465231.0
802,4462509.0
803,4459623.0
804,4456589.0
805,4453422.0
806,4450135.5
807,4446741.0
808,4443249.5
809,4439670.0
810,1988659.9
811,1987540.5
812,1986473.6
813,1985454.4
814,1984477.4
815,1983538.5
816,1982633.9
817,1981760.5
818,1980914.2
819,1980093.2
820,1295194.9
821,1294581.1
822,1293990.1
823,1293420.0
824,1292867.9
825,1292332.5
826,1291812.0
827,1291305.0
828,1290810.0
829,1290325.8
830,3739117.8
831,3738204.8
832,3737227.2
833,3736190.2
834,3735100.5
835,3733963.0
836,3732782.2
837,3731562.2
838,3730306.8
839,3729019.8
840,1425998.6
841,1425471.8
842,1424959.0
843,1424458.8
844,1423969.8
845,1423491.0
846,1423021.1
847,1422559.5
848,1422105.4
849,1421657.5
850,2289863.8
851,2289405.8
852,2288908.2
853,2288375.0
854,2287809.0
855,2287214.0
856,2286593.0
857,2285948.0
858,2285281.2
859,2284595.2
860,487094.88
861,486969.72
862,486850.3
863,486736.16
864,486626.53
865,486521.12
866,486419.47
867,486321.1
868,486225.88
869,486133.2
870,1161342.1
871,1161236.5
872,1161129.8
873,1161022.1
874,1160913.8
875,1160804.4
876,1160694.6
877,1160583.9
878,1160472.6
879,1160360.9
880,1939401.0
881,1939128.1
882,1938812.8
883,1938458.6
884,1938069.6
885,1937649.1
886,1937200.4
887,1936726.1
888,1936228.8
889,1935710.5
890,1821274.5
891,1820841.4
892,1820403.8
893,1819962.1
894,1819517.0
895,1819068.2
896,1818616.8
897,1818162.2
898,1817705.2
899,1817246.0
900,878272.7
901,878150.56
902,878029.9
903,877910.3
904,877791.6
905,877674.06
906,877557.1
907,877440.9
908,877325.1
909,877209.94
910,1308432.2
911,1308336.8
912,1308240.9
913,1308145.0
914,1308048.9
915,1307952.5
916,1307856.1
917,1307759.9
918,1307663.2
919,1307566.8
920,751137.25
921,751106.2
922,751070.3
923,751029.75
924,750985.2
925,750936.8
926,750885.3
927,750830.75
928,750773.44
929,750713.7
930,3252934.0
931,3252660.2
932,3252269.0
933,3251773.2
934,3251182.5
935,3250506.8
936,3249754.0
937,3248932.2
938,3248048.0
939,3247107.5
940,2447198.5
941,2446292.5
942,2445346.5
943,2444363.5
944,2443347.5
945,2442301.5
946,2441228.5
947,2440131.0
948,2439011.2
949,2437871.5
950,1421496.5
951,1421068.1
952,1420656.8
953,1420261.1
954,1419879.5
955,1419510.1
956,1419152.2
957,1418804.0
958,1418465.0
959,1418133.9
960,1139869.4
961,1139679.6
962,1139494.5
963,1139313.6
964,1139136.5
965,1138962.5
966,1138791.6
967,1138623.1
968,1138457.1
969,1138293.2
970,95158.31
971,95175.31
972,95156.13
973,95104.43
974,95023.49
975,94916.33
976,94785.66
977,94633.945
978,94463.47
979,94276.195
980,90510.266
981,90335.086
982,90152.54
983,89963.414
984,89768.49
985,89568.48
986,89363.93
987,89155.43
988,88943.46
989,88728.49
990,215779.75
991,215620.2
992,215462.05
993,215305.2
994,215149.6
995,214995.16
996,214841.81
997,214689.53
998,214538.27
999,214387.98
1000,97633.31
1001,97414.77
1002,97187.52
1003,96952.6
1004,96710.9
1005,96463.28
1006,96210.46
1007,95953.1
1008,95691.78
1009,95427.1
1010,662147.5
1011,661981.7
1012,661815.75
1013,661649.75
1014,661483.8
1015,661318.1
1016,661152.44
1017,660987.06
1018,660821.75
1019,660656.8
1020,4253692.5
1021,4253646.0
1022,4253356.0
1023,4252847.0
1024,4252141.0
1025,4251257.0
1026,4250214.5
1027,4249028.0
1028,4247712.0
1029,4246279.5
1030,2225653.2
1031,2224792.8
1032,2223931.5
1033,2223069.5
1034,2222206.5
1035,2221342.8
1036,2220478.2
1037,2219612.8
1038,2218747.0
1039,2217880.0
1040,2289617.5
1041,2288689.2
1042,2287738.0
1043,2286765.8
1044,2285775.2
1045,2284767.0
1046,2283744.0
1047,2282707.2
1048,2281658.8
1049,2280598.5
1050,221349.69
